"OBJECTID","Value_","Count_"
1,1,6.000000
2,2,1165849.000000
3,3,244392.000000
4,4,6739.000000
5,5,1935417.000000
6,6,2372.000000
7,7,14369379.000000
8,9,1449755.000000
9,10,3871142.000000
10,11,64636.000000
11,12,233521.000000
12,13,35921.000000
13,14,1225759.000000
14,16,46976.000000
15,17,380.000000
16,19,1711231.000000
17,20,50715015.000000
18,21,3866469.000000
19,22,1653391.000000
20,23,780211.000000
21,24,23657.000000
