Subbasin	Forest_Fraction	Pasture_Fraction	Hay_Fraction	Crop_Fraction	Swtchgrass_Fraction	Shrubland_Fraction	Barren_Fraction	Developed_Fraction	Wetlands_Fraction	Water_Fraction
1	61.793	2.207	26.726	0.829	0.000	0.105	0.089	6.965	0.006	1.280
2	69.662	3.909	20.037	0.498	0.000	1.310	0.056	4.379	0.003	0.147
3	38.520	18.510	4.839	23.316	0.000	0.004	0.044	9.066	4.342	1.359
4	42.417	19.440	8.265	0.914	0.000	0.090	0.093	28.429	0.002	0.350
5	31.395	31.079	9.208	0.757	0.000	0.119	0.087	25.437	0.005	1.914
6	44.443	18.445	14.233	1.109	0.000	0.105	0.121	19.495	0.003	2.045
7	59.062	9.024	1.897	4.896	0.000	0.008	0.031	2.724	3.078	19.280
8	77.987	5.787	5.755	0.582	0.000	0.428	0.235	7.271	0.004	1.951
9	63.990	10.015	6.432	0.618	0.000	0.268	0.296	17.513	0.001	0.867
10	60.382	14.060	13.757	0.279	0.000	0.013	1.077	8.749	0.004	1.679
11	49.446	8.171	21.215	1.091	0.000	0.132	0.661	13.253	0.016	6.015
12	64.598	7.545	16.225	0.160	0.000	0.071	0.346	9.032	0.004	2.020
13	59.136	12.992	16.771	1.754	0.000	0.290	0.091	8.746	0.009	0.212
14	64.627	11.515	2.251	5.086	0.000	0.136	0.032	5.018	4.041	7.292
15	45.609	9.065	15.288	1.988	0.000	0.830	4.023	8.374	0.064	14.757
16	44.926	13.178	22.207	1.848	0.000	0.364	0.320	15.924	0.046	1.188
17	66.594	2.834	4.850	0.272	0.000	1.144	0.000	20.926	0.109	3.270
18	72.102	7.538	8.409	0.909	0.000	0.510	0.352	9.608	0.035	0.537
19	51.395	8.797	10.741	0.368	0.012	0.531	0.179	25.655	0.071	2.252
20	65.316	2.616	10.936	0.294	0.237	1.224	0.047	16.603	0.018	2.710
21	69.133	9.790	9.040	0.203	0.003	0.178	0.270	10.538	0.005	0.839
22	67.194	3.188	5.359	0.185	0.109	0.720	0.031	21.254	0.104	1.857
23	76.545	6.374	7.339	0.797	0.000	0.367	0.031	8.392	0.013	0.143
24	52.525	1.545	12.614	1.237	0.661	0.324	0.072	27.535	0.026	3.461
25	77.613	6.299	5.360	4.069	0.000	0.056	0.003	2.914	1.869	1.818
26	61.980	2.953	16.321	2.567	2.833	1.775	0.019	7.761	0.001	3.790
27	71.825	11.524	2.502	1.121	0.000	0.170	0.028	12.503	0.013	0.314
28	54.572	7.640	14.420	1.504	0.515	1.195	0.245	11.981	0.004	7.924
29	67.926	5.656	17.015	2.153	0.000	0.438	0.040	6.381	0.047	0.346
30	88.875	3.578	0.614	0.309	0.000	0.512	0.029	5.384	0.006	0.693
31	86.110	5.405	0.734	0.201	0.000	0.445	0.074	5.207	0.007	1.818
32	87.340	1.615	3.114	0.317	0.333	0.399	0.006	4.188	0.001	2.687
33	41.390	11.632	29.812	5.196	0.000	2.443	0.065	9.164	0.037	0.262
34	44.897	10.607	21.940	7.786	0.000	2.585	0.025	10.404	0.397	1.359
35	49.328	19.149	7.171	1.148	0.299	2.899	0.025	17.557	0.148	2.277
36	65.719	12.594	2.533	4.637	0.000	4.901	0.045	4.582	2.661	2.329
37	66.427	12.936	5.483	2.315	0.819	3.000	0.019	8.372	0.005	0.624
38	72.434	5.197	12.244	3.335	0.000	1.941	0.004	4.445	0.151	0.249
39	80.282	6.899	2.622	0.330	0.000	0.361	0.036	6.963	0.006	2.501
40	59.550	15.659	3.886	3.513	1.517	5.881	0.000	9.879	0.000	0.115
41	46.814	5.977	12.986	17.333	0.000	2.405	0.036	10.049	0.405	3.995
42	57.451	11.551	10.953	1.157	0.134	3.076	0.119	9.715	0.173	5.672
43	52.754	17.002	4.435	0.434	0.000	2.379	0.048	22.431	0.127	0.391
44	87.685	3.497	1.983	0.076	0.006	0.197	0.036	5.039	0.005	1.477
45	67.920	8.934	10.080	1.986	0.000	3.497	0.134	7.052	0.139	0.259
46	79.052	2.644	2.809	2.613	0.000	4.400	0.084	6.823	0.225	1.350
47	68.552	8.654	0.972	0.329	0.000	1.973	0.027	15.946	0.108	3.440
48	47.125	3.303	30.076	6.564	0.000	4.470	0.021	8.034	0.154	0.253
49	41.065	17.009	3.335	11.983	0.000	12.187	0.118	6.949	5.453	1.901
50	47.218	14.929	3.339	8.083	0.000	10.347	0.053	8.912	1.330	5.790
51	39.232	22.840	11.205	11.237	0.000	3.975	0.015	7.161	2.001	2.333
52	46.028	10.331	27.603	6.474	0.000	1.940	0.008	6.311	0.441	0.864
53	36.404	24.971	3.974	15.040	0.000	2.962	0.048	10.542	2.802	3.257
54	56.478	15.258	1.196	2.447	0.000	15.044	0.096	6.268	0.437	2.776
55	47.954	26.585	2.362	6.802	0.000	2.998	0.017	6.618	0.943	5.722
